DIFF1,DIFF2,DIFF3,DIFF4,DIFF5,DIFF6,DIFF7,DIFF8,DIFF9,DIFF10,DIFF11,DIFF12,DIFF13,DIFF14,DIFF15,DIFF16,DIFF17,DIFF18,DIFF19,DIFF20,DIFF21,DIFF22,DIFF23,DIFF24,DIFF25,DIFF26,DIFF27,DIFF28,DIFF29,DIFF30,DIFF31,DIFF32,DIFF33,DIFF34,DIFF35,DIFF36,DIFF37,DIFF38,DIFF39,DIFF40,DIFF41,DIFF42,DIFF43,DIFF44,DIFF45,DIFF46,DIFF47,DIFF48,DIFF49,DIFF50
17,17,10,10,10,5,5,6,6,32,32,62,23,17,17,5,17,8,18,35,16,8,14,35,36,60,63,11,168,83,26,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,27,27,27,12,12,16,16,59,59,4,55,2,86,3,73,36,2,31,48,8,45,9,3,17,51,53,75,147,31,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,18,8,8,8,23,23,14,14,8,8,25,19,24,18,28,28,28,14,21,48,182,63,240,62,147,32,44,144,122,112,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,29,26,26,26,6,6,24,24,16,16,14,31,55,6,14,3,14,13,36,37,33,46,10,105,15,237,66,8,49,56,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16,5,5,5,1,1,10,10,53,53,18,45,17,80,17,90,25,50,53,34,24,67,89,276,7,21,8,72,37,70,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,19,12,12,12,15,15,31,31,133,133,14,3,86,59,66,252,11,6,75,22,7,24,44,83,119,27,9,162,86,14,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,23,23,23,14,14,19,19,43,43,2,17,18,54,34,165,60,63,11,17,8,69,74,25,92,70,134,136,81,100,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,22,6,6,6,24,24,17,17,154,154,33,2,6,86,17,8,6,55,21,44,148,11,34,61,18,76,97,7,207,10,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,61,1,1,1,10,10,49,49,46,46,23,24,80,69,73,36,18,9,32,8,25,43,3,29,45,56,47,192,299,276,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,15,15,15,29,29,32,32,62,62,55,55,59,50,28,28,2,12,37,8,59,42,70,19,78,57,157,34,178,369,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,14,14,14,1,1,59,59,4,4,19,17,54,5,3,14,14,35,88,81,72,30,53,2,166,76,50,20,109,15,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,48,2,2,2,1,1,8,8,25,25,31,86,86,3,90,25,13,31,34,99,14,32,71,181,29,4,56,174,2,107,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,21,22,22,22,19,19,16,16,14,14,45,18,69,28,252,11,50,21,7,33,33,185,116,52,25,72,87,30,292,25,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,10,10,10,1,1,53,53,18,18,3,6,13,14,111,60,6,36,77,24,10,35,46,12,42,20,17,14,75,124,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,44,29,29,29,16,16,133,133,4,4,17,76,36,17,53,6,63,53,16,7,63,9,13,77,25,14,82,413,229,305,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,94,1,1,1,49,49,12,12,9,9,2,3,5,66,8,18,20,75,121,8,46,240,21,60,78,142,167,70,171,132,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,1,1,1,32,32,43,43,2,2,24,164,3,34,36,2,10,11,100,50,67,10,3,17,17,3,12,42,151,219,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,48,19,19,19,59,59,154,154,33,33,55,7,28,17,28,14,21,21,48,96,16,89,62,147,27,100,45,120,20,261,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,36,1,1,1,8,8,46,46,23,23,17,50,14,73,14,13,9,32,48,18,60,39,86,29,61,20,273,40,72,2,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,5,5,5,13,13,62,62,55,55,86,54,17,28,25,50,12,37,37,5,24,2,16,134,84,11,39,142,63,61,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,31,11,11,11,2,2,4,4,19,19,18,86,66,3,11,6,35,88,10,59,69,74,276,15,87,53,4,255,223,18,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16,49,49,49,53,53,25,25,2,2,6,69,34,90,60,63,23,34,21,15,11,34,83,7,71,44,128,113,37,163,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,18,32,32,32,133,133,14,14,28,28,76,13,17,213,6,20,26,7,22,55,43,3,25,119,33,66,16,133,70,34,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,42,59,59,59,12,12,18,18,45,45,3,5,73,38,18,10,3,77,17,14,42,70,61,92,28,8,34,156,72,102,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,8,8,8,43,43,4,4,3,3,164,30,28,111,2,21,21,16,44,33,30,53,29,18,63,9,54,64,45,6,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,13,13,13,154,154,9,9,17,17,7,5,3,53,14,9,36,121,8,10,32,71,19,45,13,134,174,73,135,156,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,2,2,2,18,18,2,2,2,2,50,3,90,8,13,12,39,63,8,39,185,116,2,78,140,97,44,46,3,159,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,22,53,53,53,27,27,21,21,24,24,54,28,213,36,50,35,12,100,81,22,35,46,181,166,51,47,129,3,25,58,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,3,3,3,62,62,11,11,55,55,86,14,38,28,6,23,75,33,99,46,9,13,52,29,32,157,204,73,49,38,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,23,31,31,31,4,4,23,23,17,17,69,17,111,14,63,26,11,14,33,67,175,21,12,25,237,50,91,19,9,167,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,53,99,99,99,25,25,55,55,50,50,13,66,53,25,20,3,21,48,17,16,63,3,53,42,21,56,53,144,96,46,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,12,12,12,14,14,19,19,35,35,5,34,8,11,10,21,32,37,5,60,10,62,135,25,27,87,93,50,50,122,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,31,43,43,43,18,18,2,2,18,18,30,17,36,60,21,36,37,10,7,24,21,86,77,78,70,17,279,80,64,275,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,154,154,154,4,4,28,28,6,6,5,73,28,6,9,39,88,21,8,69,29,16,60,17,25,82,41,72,116,65,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13,7,7,7,9,9,45,45,76,76,3,28,14,18,12,12,34,22,50,11,34,106,17,27,46,167,38,81,104,217,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,11,11,11,2,2,3,3,3,3,28,3,25,2,29,75,7,17,96,43,39,168,48,61,56,12,145,51,74,111,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,23,23,23,21,21,17,17,164,164,14,84,11,14,4,11,77,29,18,42,2,83,35,84,138,45,18,39,139,401,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,4,4,4,11,11,2,2,7,7,17,5,60,13,23,21,16,13,5,30,74,25,59,87,164,52,11,179,20,55,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,62,62,62,23,23,24,24,50,50,66,213,6,10,63,32,46,8,59,32,34,61,29,71,46,218,34,4,155,62,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,20,4,4,4,55,55,55,55,20,20,34,38,18,23,113,37,9,8,15,76,3,29,37,33,7,39,16,144,60,44,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,25,25,25,3,3,17,17,33,33,17,111,2,14,26,88,62,81,55,94,70,19,134,28,13,106,113,149,101,32,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
