ti,tf,T,S,Archivo
582,586,5,2.2687000000000026,23
594,595,2,0.46930000000000405,23
615,615,1,0.23100000000000165,23
635,635,1,0.27009999999999934,23
660,662,3,13.025500000000001,23
101,101,1,0.2589100000000002,24
129,129,1,0.18254000000000037,24
337,338,2,0.562518,24
362,362,1,0.206754,24
378,378,1,0.3557699999999999,24
392,397,6,7.817570000000001,24
424,426,3,1.8217099999999995,24
451,451,1,0.39860000000000007,24
459,463,5,3.2484,24
518,518,1,0.2234999999999996,24
522,526,5,9.3338,24
574,574,1,0.21979999999999933,24
612,616,5,9.087900000000001,24
689,689,1,0.21420000000000528,24
697,701,5,17.969,24
83,83,1,0.18067999999999973,25
145,145,1,0.26822000000000035,25
322,323,2,1.09897,25
331,332,2,0.46194000000000024,25
338,338,1,0.24214000000000002,25
353,353,1,0.24587000000000003,25
444,448,5,2.8330900000000003,25
499,503,5,10.68047,25
586,590,5,6.057400000000001,25
593,594,2,0.4862000000000002,25
597,602,6,6.841600000000003,25
615,620,6,21.636499999999998,25
109,109,1,0.21048000000000044,26
283,284,2,0.5513399999999997,26
286,286,1,0.23654999999999937,26
345,348,4,1.0914599999999997,26
358,358,1,0.32596999999999987,26
384,387,4,3.6880699999999997,26
399,399,1,0.27193999999999985,26
409,410,2,0.4507799999999995,26
495,501,7,10.05275,26
504,504,1,0.18067999999999973,26
534,537,4,1.8012000000000006,26
569,574,6,20.923139999999997,26
611,611,1,0.21229999999999905,26
621,623,3,1.5646999999999984,26
667,668,2,0.4656999999999982,26
704,708,5,7.070599999999999,26
727,728,2,0.4247000000000014,26
735,739,5,3.622799999999998,26
821,822,2,0.6128,26
924,924,1,0.20299999999999585,26
56,56,1,0.20670000000000144,27
240,240,1,0.22169999999999845,27
256,256,1,0.21979999999999933,27
344,345,2,0.42650000000000077,27
361,363,3,0.9647999999999968,27
404,405,2,0.6016000000000012,27
489,489,1,0.2795999999999985,27
493,497,5,9.339299999999998,27
500,504,5,10.864889999999999,27
521,523,3,1.06916,27
544,545,2,0.4284099999999995,27
547,547,1,0.24216999999999977,27
561,563,3,1.6819600000000001,27
575,576,2,0.4507599999999998,27
589,590,2,0.6090799999999996,27
595,600,6,9.33005,27
620,626,7,13.187610000000001,27
628,628,1,0.2254000000000005,27
647,648,2,0.6445000000000007,27
651,651,1,0.2309999999999981,27
689,691,3,0.7859999999999978,27
693,694,2,0.5326999999999984,27
784,784,1,0.2514000000000003,27
786,787,2,0.7395000000000032,27
872,872,1,0.24579999999999913,27
882,882,1,0.18440000000000012,27
909,909,1,0.26450000000000173,27
965,965,1,0.20110000000000028,27
106,106,1,0.18070000000000164,28
225,225,1,0.1880999999999986,28
242,243,2,0.6184000000000012,28
293,293,1,0.19000000000000483,28
331,331,1,0.23280000000000456,28
350,353,4,1.121299999999998,28
431,434,4,3.773699999999998,28
486,490,5,8.959400000000002,28
508,508,1,0.24780000000000157,28
