DIFF1,DIFF2,DIFF3,DIFF4,DIFF5,DIFF6,DIFF7,DIFF8,DIFF9,DIFF10,DIFF11,DIFF12,DIFF13,DIFF14,DIFF15,DIFF16,DIFF17,DIFF18,DIFF19,DIFF20,DIFF21,DIFF22,DIFF23,DIFF24,DIFF25,DIFF26,DIFF27,DIFF28,DIFF29,DIFF30,DIFF31,DIFF32,DIFF33,DIFF34,DIFF35,DIFF36,DIFF37,DIFF38,DIFF39,DIFF40,DIFF41,DIFF42,DIFF43,DIFF44,DIFF45,DIFF46,DIFF47,DIFF48,DIFF49,DIFF50
12,12,12,12,12,41,11,4,23,27,24,21,11,20,31,5,93,3,30,13,28,39,42,3,101,44,94,27,8,178,101,42,67,68,52,144,61,131,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,2,2,37,58,14,98,29,79,6,65,45,72,137,10,38,103,52,18,9,9,142,97,139,62,3,80,130,13,6,82,77,117,193,53,169,0,0,0,0,0,0,0,0,0,0,0,0
20,20,20,20,20,3,52,25,52,22,49,11,66,15,20,52,17,78,27,125,31,110,7,133,38,12,59,91,60,37,60,76,207,87,66,4,89,54,0,0,0,0,0,0,0,0,0,0,0,0
19,19,19,19,19,23,6,69,155,24,8,65,16,190,77,42,91,9,9,199,69,90,71,24,44,61,86,20,79,35,70,40,147,18,117,100,106,150,0,0,0,0,0,0,0,0,0,0,0,0
41,41,41,41,41,36,11,152,14,79,21,66,20,141,14,49,45,4,41,28,39,27,51,16,139,17,81,52,82,137,132,59,164,103,30,149,128,15,0,0,0,0,0,0,0,0,0,0,0,0
37,37,37,37,37,11,14,52,14,49,6,16,45,31,5,148,10,70,20,18,9,42,9,87,12,13,51,43,19,83,51,21,139,25,301,126,107,11,0,0,0,0,0,0,0,0,0,0,0,0
3,3,3,3,3,58,38,22,77,8,11,20,15,72,137,32,3,40,53,31,110,9,9,101,61,63,83,80,145,33,48,158,30,39,10,140,160,50,0,0,0,0,0,0,0,0,0,0,0,0
23,23,23,23,23,20,25,37,27,21,65,45,190,20,52,17,38,30,13,69,4,7,96,97,17,19,7,48,31,109,74,86,21,52,86,152,102,77,0,0,0,0,0,0,0,0,0,0,0,0
36,36,36,36,36,32,98,30,29,218,66,15,141,77,42,5,78,103,52,39,90,71,34,38,13,4,13,8,43,88,2,227,136,117,107,101,125,92,0,0,0,0,0,0,0,0,0,0,0,0
11,11,11,11,11,6,42,45,22,6,16,190,31,14,49,93,9,27,125,9,27,51,3,44,63,35,108,80,80,21,60,67,216,18,96,284,108,130,0,0,0,0,0,0,0,0,0,0,0,0
58,58,58,58,58,11,16,48,24,11,20,141,72,5,148,10,4,9,199,110,42,9,142,139,19,94,68,60,103,22,3,82,77,91,81,70,207,64,0,0,0,0,0,0,0,0,0,0,0,0
20,20,20,20,20,14,118,3,79,65,45,31,20,137,32,17,70,41,28,4,9,9,133,12,4,62,130,79,7,18,100,207,35,66,33,63,127,154,0,0,0,0,0,0,0,0,0,0,0,0
32,32,32,32,32,38,19,25,49,66,15,72,77,52,17,91,3,20,18,90,7,96,24,61,35,59,27,82,84,101,120,147,68,45,62,86,62,148,0,0,0,0,0,0,0,0,0,0,0,0
6,6,6,6,6,25,4,36,8,16,190,20,14,42,5,45,35,53,31,27,71,34,16,17,16,86,3,19,91,13,36,164,77,68,150,74,234,186,0,0,0,0,0,0,0,0,0,0,0,0
11,11,11,11,11,98,14,3,21,20,141,77,5,49,4,10,30,13,69,42,51,3,87,13,74,81,91,145,130,60,48,139,87,30,144,144,77,93,0,0,0,0,0,0,0,0,0,0,0,0
