ti,tf,S_MR,S_MO,T,Archivo,I,P,Tp,tp,Ip
374,374,0.2756699999999998,0.0,1,20,0,1,22,0,0.19372000000000034
403,403,0.1862700000000003,0.0,1,20,0,0,0,-1,0.0
414,419,3.45522,0.4222009999999976,6,20,0,1,20,0,0.39674999999999994
449,449,0.2011599999999997,0.0,1,20,0,0,0,-1,0.0
513,513,0.2253799999999994,0.0,1,20,0,0,0,-1,0.0
516,520,5.988480000000001,3.0815780000000004,5,20,0,1,88,0,1.50502
558,564,38.3874,17.769366,7,20,0,1,17,0,0.3464999999999989
606,606,0.3389999999999986,0.0,1,20,0,0,0,-1,0.0
682,682,0.2141999999999981,0.0,1,20,0,0,0,-1,0.0
728,728,0.3203999999999993,0.0,1,20,0,1,1,1,0.0
157,157,0.1825400000000012,0.0,1,21,0,0,0,-1,0.0
351,351,0.2141999999999999,0.0,1,21,0,0,0,-1,0.0
427,430,3.73649,1.3861550000000022,4,21,0,0,0,-1,0.0
474,479,16.901670000000003,6.3029730000000015,6,21,0,0,0,-1,0.0
483,485,0.6555999999999997,0.359971999999999,3,21,0,0,0,-1,0.0
511,511,0.283100000000001,0.0,1,21,0,1,17,0,0.0
573,573,0.3110999999999997,0.0,1,21,0,1,19,0,0.3185000000000002
577,579,1.2256,0.7582719999999981,3,21,0,1,19,4,0.3185000000000002
618,623,17.0229,7.958333,6,21,0,1,15,0,0.15090000000000003
635,642,5.390500000000003,1.390737999999999,8,21,0,0,0,-1,0.0
659,660,0.5309000000000026,0.4113509999999962,2,21,0,1,7,0,0.0
345,346,0.4378000000000011,0.0,2,22,0,0,0,-1,0.0
409,412,2.902000000000001,0.9189679999999996,4,22,0,1,53,0,1.095270000000001
417,417,0.3351999999999986,0.2867150000000009,1,22,0,0,0,-1,0.0
420,420,0.216099999999999,0.340288000000001,1,22,0,0,0,-1,0.0
432,432,0.2812000000000001,0.0,1,22,0,0,0,-1,0.0
473,477,3.3771000000000004,1.4098890000000033,5,22,0,1,27,0,0.2776000000000014
494,497,3.1404,0.935886,4,22,0,1,7,0,0.17510000000000048
502,504,0.9109000000000016,0.4287050000000008,3,22,0,0,0,-1,0.0
510,514,9.3524,3.1995380000000004,5,22,0,0,0,-1,0.0
554,554,0.1918999999999968,0.0,1,22,0,1,15,0,0.4749999999999943
558,558,0.1843999999999965,0.0,1,22,0,1,15,4,0.4749999999999943
577,579,21.3217,13.207612,3,22,0,1,12,0,0.0
129,129,0.2048999999999985,0.0,1,23,0,0,0,-1,0.0
236,236,0.329699999999999,0.0,1,23,0,0,0,-1,0.0
241,241,0.3353000000000001,0.0,1,23,0,1,110,4,2.4940999999999995
355,359,2.0955000000000013,0.9830560000000013,5,23,0,1,108,0,2.9784000000000006
364,364,0.2160999999999973,0.0,1,23,0,0,0,-1,0.0
403,404,0.6091000000000015,0.0,2,23,0,0,0,-1,0.0
437,438,0.9313000000000002,0.5799020000000006,2,23,0,1,23,0,0.9126999999999974
450,453,1.739799999999999,0.0,4,23,0,0,0,-1,0.0
495,498,3.5894000000000013,1.8644700000000007,4,23,0,1,32,2,1.9632000000000005
517,521,10.9431,4.358695000000001,5,23,0,1,10,0,0.5867000000000004
525,528,3.455199999999998,1.176832000000001,4,23,0,0,0,-1,0.0
535,535,0.1918999999999968,0.0,1,23,0,0,0,-1,0.0
554,554,0.2383999999999986,0.0,1,23,0,0,0,-1,0.0
563,566,2.8181999999999974,1.2241740000000014,4,23,0,0,0,-1,0.0
577,577,0.2030000000000029,0.0,1,23,0,0,0,-1,0.0
582,586,2.2687000000000026,0.0,5,23,0,1,2,4,0.0
594,595,0.469300000000004,0.0,2,23,0,0,0,-1,0.0
615,615,0.2310000000000016,0.0,1,23,0,0,0,-1,0.0
635,635,0.2700999999999993,0.0,1,23,0,0,0,-1,0.0
660,662,13.0255,8.388823000000002,3,23,0,1,17,0,0.34080000000000155
101,101,0.2589100000000002,0.0,1,24,0,0,0,-1,0.0
129,129,0.1825400000000003,0.0,1,24,0,0,0,-1,0.0
337,338,0.562518,0.0,2,24,0,0,0,-1,0.0
362,362,0.206754,0.0,1,24,0,0,0,-1,0.0
378,378,0.3557699999999999,0.0,1,24,0,1,7,0,0.0
392,397,7.817570000000001,2.999442000000002,6,24,0,0,0,-1,0.0
424,426,1.8217099999999995,0.5017980000000009,3,24,0,1,7,0,0.2998799999999999
451,451,0.3986,0.0,1,24,0,0,0,-1,0.0
459,463,3.2484,0.9102309999999996,5,24,0,0,0,-1,0.0
518,518,0.2234999999999996,0.0,1,24,0,0,0,-1,0.0
522,526,9.3338,3.545804999999998,5,24,0,1,25,0,0.8419000000000008
574,574,0.2197999999999993,0.0,1,24,0,0,0,-1,0.0
612,616,9.0879,4.611793000000002,5,24,0,1,4,0,0.0
689,689,0.2142000000000052,0.0,1,24,0,1,17,3,0.607200000000006
697,701,17.969,8.993015,5,24,0,1,1,0,0.0
83,83,0.1806799999999997,0.0,1,25,0,0,0,-1,0.0
145,145,0.2682200000000003,0.0,1,25,0,1,55,0,1.27405
322,323,1.09897,0.3901160000000008,2,25,0,1,112,0,2.0302999999999995
331,332,0.4619400000000002,0.0,2,25,0,0,0,-1,0.0
338,338,0.24214,0.0,1,25,0,0,0,-1,0.0
353,353,0.24587,0.0,1,25,0,0,0,-1,0.0
444,448,2.8330900000000003,1.1688420000000015,5,25,0,1,81,2,1.72667
499,503,10.68047,4.253326000000001,5,25,0,1,43,0,0.4786999999999999
586,590,6.057400000000001,2.5099690000000017,5,25,0,1,7,0,0.0
593,594,0.4862000000000002,0.0,2,25,0,0,0,-1,0.0
597,602,6.841600000000003,2.60971,6,25,0,0,0,-1,0.0
615,620,21.6365,11.116249,6,25,0,0,0,-1,0.0
109,109,0.2104800000000004,0.0,1,26,0,0,0,-1,0.0
283,284,0.5513399999999997,0.0,2,26,0,0,0,-1,0.0
286,286,0.2365499999999993,0.0,1,26,0,1,8,1,0.2551799999999993
